archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p4_fila_083.html,2025-04-06 11:35:00,1.0,10.0,11.0,15.0,27.0,30.0,31.0,37.0,40.0,41.0,42.0,52.0,54.0,60.0,68.0,72.0,73.0,81.0,82.0,84.0
p4_fila_082.html,2025-04-06 11:40:00,8.0,13.0,17.0,18.0,22.0,23.0,25.0,27.0,29.0,37.0,40.0,42.0,51.0,60.0,62.0,68.0,70.0,73.0,81.0,82.0
p4_fila_081.html,2025-04-06 11:45:00,1.0,10.0,12.0,14.0,22.0,25.0,27.0,28.0,33.0,39.0,45.0,49.0,65.0,68.0,73.0,77.0,78.0,84.0,85.0,89.0
p4_fila_080.html,2025-04-06 11:50:00,1.0,5.0,11.0,22.0,33.0,35.0,41.0,42.0,43.0,44.0,47.0,54.0,55.0,63.0,74.0,77.0,81.0,83.0,85.0,87.0
p4_fila_079.html,2025-04-06 11:55:00,1.0,4.0,6.0,14.0,20.0,26.0,29.0,39.0,41.0,42.0,54.0,62.0,63.0,67.0,69.0,71.0,72.0,83.0,86.0,87.0
p2_fila_002.html,2025-04-06 12:00:00,7.0,10.0,13.0,14.0,17.0,23.0,27.0,35.0,41.0,43.0,47.0,49.0,61.0,62.0,66.0,67.0,68.0,77.0,84.0,87.0
p2_fila_001.html,2025-04-06 12:05:00,5.0,7.0,11.0,21.0,30.0,31.0,33.0,40.0,41.0,42.0,45.0,50.0,53.0,60.0,61.0,66.0,75.0,81.0,88.0,89.0
p2_fila_000.html,2025-04-06 12:10:00,3.0,5.0,9.0,21.0,23.0,31.0,38.0,47.0,53.0,59.0,60.0,73.0,74.0,75.0,76.0,81.0,82.0,83.0,84.0,86.0
p1_fila_099.html,2025-04-06 12:15:00,1.0,4.0,9.0,12.0,15.0,16.0,27.0,29.0,36.0,39.0,42.0,55.0,58.0,66.0,67.0,74.0,78.0,81.0,82.0,87.0
p1_fila_098.html,2025-04-06 12:20:00,10.0,20.0,21.0,23.0,29.0,48.0,50.0,54.0,55.0,59.0,61.0,64.0,70.0,72.0,77.0,85.0,86.0,88.0,89.0,90.0
p1_fila_097.html,2025-04-06 12:25:00,2.0,5.0,10.0,13.0,17.0,24.0,26.0,31.0,40.0,42.0,44.0,51.0,58.0,65.0,68.0,74.0,75.0,78.0,88.0,89.0
p1_fila_096.html,2025-04-06 12:30:00,6.0,7.0,8.0,13.0,21.0,23.0,26.0,29.0,31.0,32.0,35.0,43.0,44.0,45.0,54.0,63.0,70.0,83.0,87.0,89.0
p1_fila_095.html,2025-04-06 12:35:00,1.0,3.0,9.0,10.0,11.0,16.0,27.0,34.0,37.0,38.0,41.0,45.0,52.0,54.0,56.0,60.0,73.0,75.0,78.0,83.0
p1_fila_094.html,2025-04-06 12:40:00,5.0,8.0,10.0,11.0,17.0,32.0,39.0,44.0,45.0,50.0,52.0,54.0,61.0,64.0,67.0,69.0,70.0,72.0,86.0,87.0
p1_fila_093.html,2025-04-06 12:45:00,10.0,18.0,20.0,23.0,24.0,28.0,41.0,45.0,49.0,52.0,53.0,59.0,60.0,75.0,78.0,82.0,83.0,85.0,86.0,87.0
p1_fila_092.html,2025-04-06 12:50:00,3.0,6.0,12.0,15.0,16.0,29.0,30.0,32.0,36.0,41.0,46.0,54.0,58.0,62.0,66.0,69.0,78.0,80.0,81.0,86.0
